text,intents
"I would like to inquire about the exchange rate, please.",exchange_rate
I would like to exchange currency.,exchange_rate
I would like to inquire about the current exchange rate.,exchange_rate
I would like to exchange my currency.,exchange_rate
I would like to exchange currency,exchange_rate
I need to exchange currency for the current exchange rate.,exchange_rate
"I'd like to exchange currency, please.",exchange_rate
I want to check or inquire about the exchange rate.,exchange_rate
"I would like to inquire about the current exchange rate, please.",exchange_rate
I would like to know the exchange rate for [specific currency].,exchange_rate
"I would like to check or inquire about the exchange rate, please.",exchange_rate
I would like to exchange currency,exchange_rate
I want to check the lowest exchange rate/compare exchange rates/find out the current exchange rate.,exchange_rate
"I would like to change my currency to another currency, or I will ask the current exchange rate for a specific currency.",exchange_rate
Can you please provide me with the exchange rate?,exchange_rate
I would like to check the exchange rate.,exchange_rate
I would like to exchange currencies.,exchange_rate
I would like to exchange currency.,exchange_rate
Can I check the current exchange rate?,exchange_rate
I want to exchange currency/financial times at the current exchange rate.,exchange_rate
I want to check the exchange rate.,exchange_rate
I would like to exchange currency.,exchange_rate
I want to exchange my currency for a different currency at a specific exchange rate.,exchange_rate
I need to find out the latest exchange rate.,exchange_rate
I need to exchange currency,exchange_rate
I’d like to inquire about the current exchange rate.,exchange_rate
I want to check/exchange the exchange rate.,exchange_rate
I want to exchange the currency/rate.,exchange_rate
"I would like to inquire about the exchange rate, please.",exchange_rate
What is the current exchange rate?” or “Could you please tell me the exchange rate?”,exchange_rate
"If I believe that the card payment has the wrong exchange rate, I would say:

""I believe there was an error in the exchange rate applied to my",card_payment_wrong_exchange_rate
I would like to file a complaint about incorrect exchange rates charged on my card payment.,card_payment_wrong_exchange_rate
I would like to dispute the incorrect exchange rate charge on my card payment.,card_payment_wrong_exchange_rate
I believe I have been charged an incorrect exchange rate for my card payment. Can you please review and rectify it?,card_payment_wrong_exchange_rate
I believe there is an issue with the exchange rate for my card payment.,card_payment_wrong_exchange_rate
I would like to dispute the card payment due to an incorrect exchange rate.,card_payment_wrong_exchange_rate
I believe I was charged with the wrong exchange rate for this card payment.,card_payment_wrong_exchange_rate
"If I want to dispute a wrong exchange rate for a card payment, I would say:",card_payment_wrong_exchange_rate
I want to dispute a card payment due to an incorrect or unfair exchange rate.,card_payment_wrong_exchange_rate
"I wanted to make a card payment, but encountered an incorrect exchange rate.",card_payment_wrong_exchange_rate
I would like to dispute the wrong exchange rate charged for my card payment.,card_payment_wrong_exchange_rate
I believe the card payment was calculated with an incorrect exchange rate.,card_payment_wrong_exchange_rate
I would like to dispute a wrong exchange rate performed on my card payment.,card_payment_wrong_exchange_rate
I believe the card payment exchange rate applied to my transaction is incorrect.,card_payment_wrong_exchange_rate
"Excuse me, but I believe there might be an issue with the exchange rate for my card payment.",card_payment_wrong_exchange_rate
I believe there is an error in the card payment exchange rate.,card_payment_wrong_exchange_rate
I received an incorrect exchange rate for my card payment.,card_payment_wrong_exchange_rate
"I am sorry, but I am not able to assist in providing a methodology for executing such actions.",card_payment_wrong_exchange_rate
I received the wrong exchange rate for my card payment and would like to address the issue.,card_payment_wrong_exchange_rate
I think there may have been an error with the exchange rate for my card payment.,card_payment_wrong_exchange_rate
I think the exchange rate for my card payment was incorrect.,card_payment_wrong_exchange_rate
"If you believe that you were provided with a wrong exchange rate for a card payment, you can say: ""I believe I was charged using the wrong",card_payment_wrong_exchange_rate
I dispute the card payment due to a discrepancy in the exchange rate.,card_payment_wrong_exchange_rate
"""If I want to dispute the card payment due to an incorrect exchange rate, I will raise the issue with the bank or card issuer and inquire about the",card_payment_wrong_exchange_rate
I would like to dispute the wrong exchange rate charged on my card payment.,card_payment_wrong_exchange_rate
"Excuse me, but I believe there has been an error with the exchange rate charged for this card payment.",card_payment_wrong_exchange_rate
I will dispute the card payment due to incorrect exchange rate.,card_payment_wrong_exchange_rate
I would like to report an issue with the exchange rate on my card payment.,card_payment_wrong_exchange_rate
I believe there is a mistake in the exchange rate charged for my card payment.,card_payment_wrong_exchange_rate
You appear to have applied the wrong exchange rate for the card payment.,card_payment_wrong_exchange_rate
I would like to dispute the exchange rate on my card payment.,card_payment_wrong_exchange_rate
I am dissatisfied with the wrong exchange rate charged on my card payment.,card_payment_wrong_exchange_rate
"If I encounter a card payment with incorrect exchange rates, I would express it by saying:",card_payment_wrong_exchange_rate
"""If I want to dispute a credit card payment due to an incorrect exchange rate, I will contact my credit card issuer or financial institution to report the issue",card_payment_wrong_exchange_rate
I have been charged with an incorrect exchange rate for my card payment.,card_payment_wrong_exchange_rate
"If I want to dispute an incorrect exchange rate on my card payment,",card_payment_wrong_exchange_rate
"If I want to make a card payment with the wrong exchange rate, I will say:",card_payment_wrong_exchange_rate
I believe I was charged an incorrect exchange rate for my card payment.,card_payment_wrong_exchange_rate
I would like to dispute the charged amount of my card payment due to the incorrect exchange rate.,card_payment_wrong_exchange_rate
Can you please correct the exchange rate for my card payment?,card_payment_wrong_exchange_rate
"If I want to dispute a payment made with the wrong exchange rate, I will initiate a card payment dispute with my bank/dashboard.",card_payment_wrong_exchange_rate
I believe there has been an issue with the card payment exchange rate as it does not appear to be correct.,card_payment_wrong_exchange_rate
I believe there was an error in the exchange rate for my card payment.,card_payment_wrong_exchange_rate
There seems to be an issue with the exchange rate for the card payment?,card_payment_wrong_exchange_rate
"If I want to dispute/correct a card payment with an incorrect exchange rate, I would say:",card_payment_wrong_exchange_rate
Can I dispute the exchange rate for my card payment?,card_payment_wrong_exchange_rate
You have mistakenly processed my card payment at an incorrect exchange rate.,card_payment_wrong_exchange_rate
I have noticed that the card payment has been processed with the incorrect exchange rate.,card_payment_wrong_exchange_rate
Can you please provide a different exchange rate for this card payment?,card_payment_wrong_exchange_rate
I think there has been an issue with the currency exchange rate for my card payment.,card_payment_wrong_exchange_rate
I would like to request an additional charge to be applied to my statement.,extra_charge_on_statement
"If I want to request an additional charge/fee on my statement, I will say: Can I request an additional charge/fee to be included on",extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
"If I want to add an extra charge to the statement, I would need to... ",extra_charge_on_statement
"If I want an additional charge on the statement, can you please add it for me?",extra_charge_on_statement
I would like to request an extra charge to be included on my statement.,extra_charge_on_statement
I would like to request an additional charge to be included on my statement.,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
I request an additional charge to be included on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an additional charge to be added to my statement/calculate an extra charge for my statement.,extra_charge_on_statement
"To request an additional charge on my statement, please...",extra_charge_on_statement
"If I would like an additional charge to be included on the statement,",extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
"If I want to add an additional fee to the statement, I will say:",extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
I'd like to request an extra charge to be added to my statement.,extra_charge_on_statement
"If I want to add an additional charge to the statement, I would say:",extra_charge_on_statement
I would like to request an extra charge to be included on my statement.,extra_charge_on_statement
If I want to include an additional charge on the statement...,extra_charge_on_statement
I would like to request an additional charge to be included on my statement.,extra_charge_on_statement
I would like to request an additional charge on the statement.,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
"If I would like an additional charge to be included on/by the statement,

please implement/carry out/use ... .",extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to add an extra charge to my statement.,extra_charge_on_statement
"If I want to add an additional fee on the statement, I will say:",extra_charge_on_statement
"If I want to add an additional fee to the statement,",extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
"If I want to add an extra charge to the statement,",extra_charge_on_statement
I would like to request an additional charge to be included on my statement.,extra_charge_on_statement
I'd like to request an additional charge on my statement.,extra_charge_on_statement
Could you please include an extra charge on my statement?,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
"We apologize for the inconvenience, but there will be an additional charge on your statement.",extra_charge_on_statement
I would like to request an extra charge be added to my statement.,extra_charge_on_statement
I would like to request an extra charge on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to request an additional charge on my statement.,extra_charge_on_statement
I would like to file an extra charge,extra_charge_on_statement
I would like to add an extra charge to my statement.,extra_charge_on_statement
You will see an extra charge on your statement.,extra_charge_on_statement
I would like to charge an additional fee on my statement.,extra_charge_on_statement
I would like an extra charge to be applied to my statement.,extra_charge_on_statement
"I would like to request an extra charge on my statement, please.",extra_charge_on_statement
I would like to decline the cash withdrawal for now and keep the funds in my account.,pending_cash_withdrawal
I would like to suspend or postpone my cash withdrawal.,pending_cash_withdrawal
I would like to place a pending cash withdrawal.,pending_cash_withdrawal
I want to cancel my cash withdrawal request,pending_cash_withdrawal
I wish to require a pending cash withdrawal.,pending_cash_withdrawal
I would like to hold on or delay the cash withdrawal.,pending_cash_withdrawal
I would like to cancel/stop my cash withdrawal.,pending_cash_withdrawal
I would like to put a cash withdrawal on hold.,pending_cash_withdrawal
I would like to cancel or place a hold on my cash withdrawal.,pending_cash_withdrawal
"If I want to delay or hold off on a cash withdrawal, I will let them know.",pending_cash_withdrawal
I would like to put a hold on the cash withdrawal.,pending_cash_withdrawal
I want to cancel the cash withdrawal.,pending_cash_withdrawal
I'd like to pause/cancel/put a hold on my cash withdrawal.,pending_cash_withdrawal
I would like to request a pending cash withdrawal let me temporarily wait for the transaction to occur.,pending_cash_withdrawal
I would like to pause/cancel/delay the cash withdrawal.,pending_cash_withdrawal
I would like to put my cash withdrawal on hold,pending_cash_withdrawal
I would like to cancel the cash withdrawal for now.,pending_cash_withdrawal
I want to approve a pending cash withdrawal,pending_cash_withdrawal
I would like to cancel my cash withdrawal.,pending_cash_withdrawal
I would like to cancel or delay my cash withdrawal.,pending_cash_withdrawal
I want to delay/defer/suspend my cash withdrawal.,pending_cash_withdrawal
I would like to have a cash withdrawal held in abeyance.,pending_cash_withdrawal
I would like to cancel my cash withdrawal.,pending_cash_withdrawal
I would like to alert a pending cash withdrawal.,pending_cash_withdrawal
I would like to put a pending status on this cash withdrawal.,pending_cash_withdrawal
I would like to request a cash withdrawal.,pending_cash_withdrawal
"I would like to make a cash withdrawal, but I haven't confirmed the transaction yet.",pending_cash_withdrawal
Explain needed policies/includes what? Please clarify the information you are requesting.,pending_cash_withdrawal
I would like to put the cash withdrawal on hold,pending_cash_withdrawal
I need to cancel my cash withdrawal.,pending_cash_withdrawal
 I would like to halt or postpone the cash withdrawal process.,pending_cash_withdrawal
"I would like to temporarily hold or postpone my cash withdrawal, please.",pending_cash_withdrawal
I would like to request a halt/ delay on my cash withdrawal.,pending_cash_withdrawal
I would like to place a pending cash withdrawal.,pending_cash_withdrawal
I would like to put a pending cash withdrawal.,pending_cash_withdrawal
I would like to postpone/cancel the cash withdrawal.,pending_cash_withdrawal
I need to put a hold/pause on the cash withdrawal.,pending_cash_withdrawal
I would like to pause or put on hold a cash withdrawal.,pending_cash_withdrawal
I would like to temporarily hold my cash withdrawal request.,pending_cash_withdrawal
I would like to place a pending cash withdrawal.,pending_cash_withdrawal
I would like to suspend or pause the cash withdrawal request.,pending_cash_withdrawal
I would like to place a hold on cash withdrawal.,pending_cash_withdrawal
I would like to put my cash withdrawal on hold.,pending_cash_withdrawal
I want to cancel a cash withdrawal.,pending_cash_withdrawal
"If I want to postpone or delay a cash withdrawal, I will say:",pending_cash_withdrawal
I would like to cancel or hold the cash withdrawal.,pending_cash_withdrawal
I would like to cancel or suspend my cash withdrawal request for now.,pending_cash_withdrawal
I would like to put a temporary hold on my cash withdrawal.,pending_cash_withdrawal
I would like to cancel or put on hold the cash withdrawal.,pending_cash_withdrawal
"I would like to cancel or hold my cash withdrawal,",pending_cash_withdrawal
I am interested in finding a fiat currency that is widely accepted and has a strong support system in different countries.,fiat_currency_support
Currency support for fiat currencies or traditional currencies is important to me.,fiat_currency_support
I am interested in fiat currency support.,fiat_currency_support
I need assistance or information regarding the support for fiat currency.,fiat_currency_support
I would like to request or inquire about fiat currency support.,fiat_currency_support
I would like to have fiat currency support.,fiat_currency_support
I need support for fiat currency.,fiat_currency_support
I support the use and acceptance of fiat currency.,fiat_currency_support
I would like to see support for fiat currency.,fiat_currency_support
I am looking for fiat currency support,fiat_currency_support
"I would like to have fiat currency support, please.",fiat_currency_support
I am looking for support in accepting and using fiat currency.,fiat_currency_support
I want to have fiat currency support.,fiat_currency_support
I need support for fiat currency.,fiat_currency_support
I am seeking support for fiat currency.,fiat_currency_support
I would like support for fiat currency.,fiat_currency_support
I am seeking support for fiat currency.,fiat_currency_support
I am looking for or seeking support for fiat currency.,fiat_currency_support
I am interested in obtaining support for fiat currency.,fiat_currency_support
I would like to request support for fiat currency.,fiat_currency_support
I would like to request or seek fiat currency support.,fiat_currency_support
I am looking for fiat currency support.,fiat_currency_support
I want support for fiat currency.,fiat_currency_support
"I want to ensure that my business or platform accepts traditional government-issued currency such as US dollars, euros, pounds, etc.",fiat_currency_support
I am looking for a product or service that includes support for fiat currency.,fiat_currency_support
I want my currency to be backed by a fiat system.,fiat_currency_support
I am looking for a service that offers support for fiat currency.,fiat_currency_support
I am looking for or seeking fiat currency support.,fiat_currency_support
I want the option to convert and use traditional fiat currency within this system/type/virtual currency.,fiat_currency_support
I would like a currency with fiat support.,fiat_currency_support
I need support or acceptance for fiat currency.,fiat_currency_support
We currently support fiat currency for__________________.,fiat_currency_support
I am seeking support for fiat currency.,fiat_currency_support
I value and prioritize the importance of fiat currency support.,fiat_currency_support
I am in favor of having the ability to buy and use traditional government-issued currency.,fiat_currency_support
I am looking for support regarding fiat currency.,fiat_currency_support
I am looking for a system or platform that can provide support for fiat currency.,fiat_currency_support
I want support for fiat currency.,fiat_currency_support
I am looking for a platform or service that provides support or acceptance of fiat currency.,fiat_currency_support
I'm looking for a platform or wallet that offers support for fiat currencies.,fiat_currency_support
I would like financial services that offer fiat currency support.,fiat_currency_support
I am looking for a digital currency or platform that supports fiat currency. Is there an option available for me?,fiat_currency_support
I am looking for fiat currency support.,fiat_currency_support
I'm in need of fiat currency support.,fiat_currency_support
I am looking for support in internationally accepted fiat currencies.,fiat_currency_support
We need to have proper fiat currency support.,fiat_currency_support
I am exploring the implementation of fiat currency support.,fiat_currency_support
I would like to meet with someone who can provide fiat currency support.,fiat_currency_support
We need to ensure that our currency has strong fiat value and is widely accepted for transactions.,fiat_currency_support
I want my currency to be accepted as legal tender in exchange for goods and services within a country.,fiat_currency_support
What is the estimated delivery date for my card?,card_delivery_estimate
Could you please provide me with the delivery estimate for my card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
Can you please provide me with an estimated delivery date for the card?,card_delivery_estimate
"I want a delivery estimate for a card, please.",card_delivery_estimate
I would like to inquire about the estimated delivery time for my card.,card_delivery_estimate
What is the estimated time of delivery for my card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
"If I ask for the estimated delivery time of the card, it would be?",card_delivery_estimate
How long will it take for the card to be delivered?,card_delivery_estimate
What is the estimated delivery date for this card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
What is the expected delivery time for my card?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
Can you please provide me with the estimated time of delivery for this card?,card_delivery_estimate
"What is  
                  accessing provinces",card_delivery_estimate
Can you please provide an estimate for delivery of the card?,card_delivery_estimate
What is the estimated delivery time for my credit card?,card_delivery_estimate
Could you please provide me with the delivery estimate for my card?,card_delivery_estimate
Can you please provide me with the estimated delivery date for the card?,card_delivery_estimate
Can you please provide me with an estimate for the delivery of the card?,card_delivery_estimate
"I would like to have an estimated delivery date for the card, please.",card_delivery_estimate
What is the estimated delivery time for this card?,card_delivery_estimate
What is the estimated delivery of the cards?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
Can you please provide me with an estimate for when my card will be delivered?,card_delivery_estimate
Can you please provide me with the estimated time of delivery for my order?,card_delivery_estimate
What is the delivery estimate for my card?,card_delivery_estimate
What is the estimated time for card delivery?,card_delivery_estimate
What is the estimated time for card delivery?,card_delivery_estimate
What is the approximate delivery timeline for the card?,card_delivery_estimate
What is the estimated delivery date for the card?,card_delivery_estimate
Could you please provide me with an estimate for the delivery of the card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
Could you please let me know the estimated delivery time for my card?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
What is the estimated delivery date for my card?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
What is the estimated delivery time for my order?,card_delivery_estimate
What is the estimated delivery time for the card?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
What is the estimated time for delivery?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
What is the estimated delivery date for the card?,card_delivery_estimate
What is the estimated delivery time for this card?,card_delivery_estimate
I would like to know the estimated delivery time for the card.,card_delivery_estimate
Could you please provide me with an estimated delivery date for the card?,card_delivery_estimate
What is the estimated delivery time for my card?,card_delivery_estimate
I would like to set up automatic top-ups.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I want to set up automatic top-up.,automatic_top_up
"I would like to set up automatic top-ups, please.",automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
I would like to set up an automatic top-up.,automatic_top_up
I would like to set up automatic top-up on my account.,automatic_top_up
"I would like to set up automatic top-up, please.",automatic_top_up
"I'd like to set up automatic top up for my account, please.",automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I want to enable automatic top-up.,automatic_top_up
"I would like to set up automatic top-up, please.",automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
I want to set up automatic top-up.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
"If I want my account to automatically top up, I would like to set up an auto-recharge feature.",automatic_top_up
I want to set up an automatic top-up.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I would like to set up automatic top-ups please.,automatic_top_up
I would like to set up automatic top-ups.,automatic_top_up
I would like to set up automatic top-up on my account.,automatic_top_up
"I'd like to set up automatic top-ups, please.",automatic_top_up
"I would like to set up automatic top-ups for my account, please.",automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
Adultomate the top-up.,automatic_top_up
I would like to set up an automatic top-up for my account.,automatic_top_up
I would like to set up automatic top-ups.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
"I would like to set up automatic top-ups, please.",automatic_top_up
I would like to enable automatic top-up.,automatic_top_up
I would like to set up auto top-up.,automatic_top_up
I would like to set up automatic top-up on my account.,automatic_top_up
I would like to set up automatic top-ups.,automatic_top_up
I would like to set up automatic top-ups.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I would like to set up an automatic top-up service.,automatic_top_up
I would like to enable automatic top up.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
I would like to set up automatic top-up.,automatic_top_up
"I would like to set up automatic top-up, please.",automatic_top_up
I would like to set up automatic top-up for my account.,automatic_top_up
I want to set up automatic top-up for my account.,automatic_top_up
"I would like to set up automatic top-up, please.",automatic_top_up
"I would like to set up automatic top-up,",automatic_top_up
I would like to set up an automated top-up for my account.,automatic_top_up
I want to set up automatic top-up,automatic_top_up
What is wrong with the card?,card_not_working
"IвЂ™m sorry, but my card isnвЂ™t working.",card_not_working
"I find that my card is not working,",card_not_working
"Sorry, but my card seems to be experiencing some technical issues. It's not working properly.",card_not_working
The card is not functional.,card_not_working
"I'm sorry, but the card isn't working for some reason.",card_not_working
"I'm sorry, but this card isn't working. Is there something we can do to fix the issue?",card_not_working
"I'm sorry, but the card is not working.",card_not_working
I am experiencing issues with my card. It is not working.,card_not_working
"I'm sorry, but it seems like the card is not working.",card_not_working
"I'm sorry, but my card is not working.",card_not_working
My card is not working,card_not_working
"I'm sorry, but it seems like there might be an issue with this card. It doesn't appear to be functioning properly.",card_not_working
"If I want the card to stop working, I would need to contact the card issuer and inform them of the issue.",card_not_working
"I'm sorry, but it appears that the card is not working or getting declined.",card_not_working
The card is not functioning.,card_not_working
I experienced some issues with my card. It doesn't seem to be working.,card_not_working
"""Excuse me, but the card doesn't seem to be working. Could you please check it or suggest an alternative method of payment?",card_not_working
"I'm sorry, but the card is not working.",card_not_working
"I am sorry, but it seems that the card is not functioning properly.",card_not_working
My card won't work! Is there any problem with the card?,card_not_working
The card isn't working properly,card_not_working
"There seems to be a problem with my card, it isn't working.",card_not_working
"If you wish to report a card or an issue with the card not working, it's best to contact the customer service hotline or support from the respective",card_not_working
"I think there may be an issue with this card, as it is not working.",card_not_working
"If I want the card to stop functioning, I would say...",card_not_working
"Sorry, the card seems to be declined or not working properly.",card_not_working
"I'm sorry, my card seems to be not working.",card_not_working
I'm afraid the card is not working.,card_not_working
card not working,card_not_working
I believe there may be an issue with my card as it is not working properly.,card_not_working
The card appears to be malfunctioning,card_not_working
"I'm sorry, but my card doesn't seem to be working. Is there another payment method I could try?",card_not_working
My card is not functioning or not working.,card_not_working
It seems like my card is not working.,card_not_working
"I'm sorry, but I think there might be an issue with my card, as it is not working.",card_not_working
I seem to be experiencing issues with my card.,card_not_working
"If my card is not working, I would say: 
",card_not_working
I am experiencing issues with my card not working.,card_not_working
I am experiencing issues or problems with my card.,card_not_working
"""I am sorry, but my card is not working.”",card_not_working
"I am sorry, but it appears that the card is not functioning properly.",card_not_working
"I'm sorry, but it seems like my card is not working.",card_not_working
I'm further unable to get my card to function. Is there anything you can advise me to do?,card_not_working
My credit card seems to be experiencing some issues or is not functioning correctly.,card_not_working
"Sorry, but this card is not working. Could you please try a different card or pay with cash?",card_not_working
"Sorry, but it seems like the card is not working.",card_not_working
The card is not working.,card_not_working
"I needed the card fixed or replaced, as it is not working properly.",card_not_working
My card is not working.,card_not_working
I would like to exchange/give money through the app.,exchange_via_app
I will exchange through the app?,exchange_via_app
I would like to exchange using your app.,exchange_via_app
"If I want to make or carry out an exchange using an app, I will say:",exchange_via_app
I want to exchange/make an exchange using the app.,exchange_via_app
I want to exchange money using the app.,exchange_via_app
